GCC,G++,Clang,Clang++,MLIR,SDFG (Opt),SDFG (No Opt)
1800.00,1800.00,1800.00,1800.00,471.87,46.77,1800.00
1800.00,1800.00,1800.00,1800.00,463.83,46.46,1800.00
1800.00,1800.00,1800.00,1800.00,463.47,46.46,1800.00
1800.00,1800.00,1800.00,1800.00,463.12,46.65,1800.00
1800.00,1800.00,1800.00,1800.00,463.34,46.44,1800.00
1800.00,1800.00,1800.00,1800.00,462.82,46.47,1800.00
1800.00,1800.00,1800.00,1800.00,463.32,46.61,1800.00
1800.00,1800.00,1800.00,1800.00,462.86,46.56,1800.00
1800.00,1800.00,1800.00,1800.00,463.50,46.52,1800.00
1800.00,1800.00,1800.00,1800.00,462.72,46.45,1800.00
1800.00,1800.00,1800.00,1800.00,463.29,46.51,1800.00
1800.00,1800.00,1800.00,1800.00,462.98,46.56,1800.00
